time,x,y,yaw,speed,steering,lap_id,trial_id,lap_time,collision,collision_count,collision_x,collision_y,min_lidar_range
1.29481,0,0,0,0,0,0,0,1.29481,0,0,0,0,0.927016
1.30261,0,0,0,0,0,0,0,1.30261,0,0,0,0,0.927016
1.30351,0,0,0,0,0,0,0,1.30351,0,0,0,0,0.927016
1.3072,0,0,0,0,0,0,0,1.3072,0,0,0,0,0.927016
1.3111,0,0,0,0,0,0,0,1.3111,0,0,0,0,0.927016
1.31458,0,0,0,0,0,0,0,1.31458,0,0,0,0,0.927016
1.31822,0,0,0,0,0,0,0,1.31822,0,0,0,0,0.927016
1.32204,0,0,0,0,0,0,0,1.32204,0,0,0,0,0.927016
1.32944,0,0,0,0,0,0,0,1.32944,0,0,0,0,0.927016
1.33071,0,0,0,0,0,0,0,1.33071,0,0,0,0,0.927016
1.33488,0,0,0,0,0,0,0,1.33488,0,0,0,0,0.927016
1.33804,0,0,0,0,0,0,0,1.33804,0,0,0,0,0.927016
1.34234,0,0,0,0,0,0,0,1.34234,0,0,0,0,0.927016
1.34664,0,0,0,0,0,0,0,1.34664,0,0,0,0,0.927016
1.35053,0,0,0,0,0,0,0,1.35053,0,0,0,0,0.927016
1.35437,0,0,0,0,0,0,0,1.35437,0,0,0,0,0.927016
1.35854,0,0,0,0,0,0,0,1.35854,0,0,0,0,0.927016
1.36803,0,0,0,0,0,0,0,1.36803,0,0,0,0,0.927016
1.36833,0,0,0,0,0,0,0,1.36833,0,0,0,0,0.927016
1.37197,0,0,0,0,0,0,0,1.37197,0,0,0,0,0.927016
1.37438,0,0,0,0,0,0,0,1.37438,0,0,0,0,0.927016
1.37828,0,0,0,0,0,0,0,1.37828,0,0,0,0,0.927016
1.38233,0,0,0,0,0,0,0,1.38233,0,0,0,0,0.927016
1.38627,0,0,0,0,0,0,0,1.38627,0,0,0,0,0.927016
1.39074,0,0,0,0,0,0,0,1.39074,0,0,0,0,0.927016
1.39822,0,0,0,0,0,0,0,1.39822,0,0,0,0,0.927016
1.39877,0,0,0,0,0,0,0,1.39877,0,0,0,0,0.927016
1.40309,0,0,0,0,0,0,0,1.40309,0,0,0,0,0.927016
1.40664,0,0,0,0,0,0,0,1.40664,0,0,0,0,0.927016
1.41041,0,0,0,0,0,0,0,1.41041,0,0,0,0,0.927016
1.41436,0,0,0,0,0,0,0,1.41436,0,0,0,0,0.927016
1.41854,0,0,0,0,0,0,0,1.41854,0,0,0,0,0.927016
1.42243,0,0,0,0,0,0,0,1.42243,0,0,0,0,0.927016
1.42953,0,0,0,0,0,0,0,1.42953,0,0,0,0,0.927016
1.4308,0,0,0,0,0,0,0,1.4308,0,0,0,0,0.927016
1.43497,0,0,0,0,0,0,0,1.43497,0,0,0,0,0.927016
1.43845,0,0,0,0,0,0,0,1.43845,0,0,0,0,0.927016
1.44254,0,0,0,0,0,0,0,1.44254,0,0,0,0,0.927016
1.44667,0,0,0,0,0,0,0,1.44667,0,0,0,0,0.927016
1.45075,0,0,0,0,0,0,0,1.45075,0,0,0,0,0.927016
1.45997,0,0,0,0,0,0,0,1.45997,0,0,0,0,0.927016
1.46015,0,0,0,0,0,0,0,1.46015,0,0,0,0,0.927016
1.46319,0,0,0,0,0,0,0,1.46319,0,0,0,0,0.927016
1.46816,0,0,0,0,0,0,0,1.46816,0,0,0,0,0.927016
1.4714,0,0,0,0,0,0,0,1.4714,0,0,0,0,0.927016
1.47491,0,0,0,0,0,0,0,1.47491,0,0,0,0,0.927016
1.47901,0,0,0,0,0,0,0,1.47901,0,0,0,0,0.927016
1.48266,0,0,0,0,0,0,0,1.48266,0,0,0,0,0.927016
1.48688,0,0,0,0,0,0,0,1.48688,0,0,0,0,0.927016
